,NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE (x$1000),SHRS OR PRN AMT,SH/ PRN,PUT/ CALL,INVESTMENT DISCRETION,OTHER MANAGER,VOTING AUTHORITY SOLE,SHARED,NONE,date,Value % at Quarter
0,AMERICAN EXPRESS CO,COM,025816109,145942,1952142,SH, ,DFND,4,1952142,0,0,2013-08-15,0.001639223011751891
1,AMERICAN EXPRESS CO,COM,025816109,1287771,17225400,SH, ,DFND,"4,5",17225400,0,0,2013-08-15,0.014464265647084076
2,AMERICAN EXPRESS CO,COM,025816109,62786,839832,SH, ,DFND,"4,7",839832,0,0,2013-08-15,0.0007052134136564815
3,AMERICAN EXPRESS CO,COM,025816109,145266,1943100,SH, ,DFND,"4,8,11",1943100,0,0,2013-08-15,0.0016316301683213207
4,AMERICAN EXPRESS CO,COM,025816109,597679,7994634,SH, ,DFND,"4,10",7994634,0,0,2013-08-15,0.006713140634230437
5,AMERICAN EXPRESS CO,COM,025816109,8990330,120255879,SH, ,DFND,"4,11",99999999,0,0,2013-08-15,0.10097953857863656
6,AMERICAN EXPRESS CO,COM,025816109,104643,1399713,SH, ,DFND,"4,13",1399713,0,0,2013-08-15,0.0011753519454218327
7,BANK OF NEW YORK MELLON CORP,COM,064058100,225558,8041300,SH, ,DFND,4,8041300,0,0,2013-08-15,0.002533471269988989
8,BANK OF NEW YORK MELLON CORP,COM,064058100,50319,1793915,SH, ,DFND,"2,4,11",1793915,0,0,2013-08-15,0.0005651838588503885
9,BANK OF NEW YORK MELLON CORP,COM,064058100,241544,8611200,SH, ,DFND,"4,8,11",8611200,0,0,2013-08-15,0.0027130262922983013
10,BANK OF NEW YORK MELLON CORP,COM,064058100,15181,541214,SH, ,DFND,"4,5,9",541214,0,0,2013-08-15,0.0001705132486974651
11,BANK OF NEW YORK MELLON CORP,COM,064058100,158662,5656400,SH, ,DFND,"4,11",5656400,0,0,2013-08-15,0.001782094266835993
12,CHICAGO BRIDGE & IRON CO N V,N Y REGISTRY SH,167250109,287406,4817400,SH, ,DFND,4,4817400,0,0,2013-08-15,0.0032281490517847085
13,CHICAGO BRIDGE & IRON CO N V,N Y REGISTRY SH,167250109,282392,4733355,SH, ,DFND,"4,8,11",4733355,0,0,2013-08-15,0.003171831719002343
14,COCA COLA CO,COM,191216100,32088,800000,SH, ,DFND,4,800000,0,0,2013-08-15,0.00036041295858008435
15,COCA COLA CO,COM,191216100,3220159,80283200,SH, ,DFND,"4,5",80283200,0,0,2013-08-15,0.03616888033807922
16,COCA COLA CO,COM,191216100,73161,1824000,SH, ,DFND,"4,6",1824000,0,0,2013-08-15,0.0008217455890886797
17,COCA COLA CO,COM,191216100,578033,14411200,SH, ,DFND,"4,8,11",14411200,0,0,2013-08-15,0.006492476430033717
18,COCA COLA CO,COM,191216100,733147,18278400,SH, ,DFND,"4,10",18278400,0,0,2013-08-15,0.008234719500876125
19,COCA COLA CO,COM,191216100,11226436,279891200,SH, ,DFND,"4,11",99999999,0,0,2013-08-15,0.1260955189812381
20,COCA COLA CO,COM,191216100,142471,3552000,SH, ,DFND,"4,12",3552000,0,0,2013-08-15,0.0016002366810603092
21,COCA COLA CO,COM,191216100,38506,960000,SH, ,DFND,"4,13",960000,0,0,2013-08-15,0.0004325000431028649
22,CONOCOPHILLIPS,COM,20825C104,61406,1014974,SH, ,DFND,"4,8,11",1014974,0,0,2013-08-15,0.0006897132303218855
23,CONOCOPHILLIPS,COM,20825C104,120958,1999300,SH, ,DFND,"4,10",1999300,0,0,2013-08-15,0.0013586023012942484
24,CONOCOPHILLIPS,COM,20825C104,1277133,21109637,SH, ,DFND,"4,11",21109637,0,0,2013-08-15,0.014344779451204777
25,COSTCO WHSL CORP NEW,COM,22160K105,479140,4333363,SH, ,DFND,"4,11",4333363,0,0,2013-08-15,0.005381708581839367
26,DAVITA HEALTHCARE PARTNERS I,COM,23918K108,1084048,8973906,SH, ,DFND,4,8973906,0,0,2013-08-15,0.012176045466305886
27,DAVITA HEALTHCARE PARTNERS I,COM,23918K108,724800,6000000,SH, ,DFND,"4,8,11",6000000,0,0,2013-08-15,0.008140965855735639
28,DEERE & CO,COM,244199105,135387,1666300,SH, ,DFND,4,1666300,0,0,2013-08-15,0.0015206690732760496
29,DEERE & CO,COM,244199105,187888,2312467,SH, ,DFND,"4,8,11",2312467,0,0,2013-08-15,0.0021103611930221545
30,DISH NETWORK CORP,CL A,25470M109,23272,547312,SH, ,DFND,"4,8,11",547312,0,0,2013-08-15,0.000261391497509216
31,DIRECTV,COM,25490A309,879960,14275800,SH, ,DFND,4,14275800,0,0,2013-08-15,0.009883725599355866
32,DIRECTV,COM,25490A309,1417695,22999600,SH, ,DFND,"4,8,11",22999600,0,0,2013-08-15,0.01592357421198556
33,GENERAL ELECTRIC CO,COM,369604103,13657,588900,SH, ,DFND,4,588900,0,0,2013-08-15,0.00015339565492795474
34,GENERAL MTRS CO,COM,37045V100,609406,18295000,SH, ,DFND,4,18295000,0,0,2013-08-15,0.006844858496523775
35,GENERAL MTRS CO,COM,37045V100,722994,21705000,SH, ,DFND,"4,8,11",21705000,0,0,2013-08-15,0.008120680833197754
36,GLAXOSMITHKLINE PLC,SPONSORED ADR,37733W105,73757,1476021,SH, ,DFND,"4,11",1476021,0,0,2013-08-15,0.0008284398711665196
37,INTERNATIONAL BUSINESS MACHS,COM,459200101,16145,84480,SH, ,DFND,4,84480,0,0,2013-08-15,0.00018134091299786407
38,INTERNATIONAL BUSINESS MACHS,COM,459200101,114205,597588,SH, ,DFND,"4,5",597588,0,0,2013-08-15,0.0012827524911069102
39,INTERNATIONAL BUSINESS MACHS,COM,459200101,90739,474800,SH, ,DFND,"4,8,11",474800,0,0,2013-08-15,0.0010191819823173235
40,INTERNATIONAL BUSINESS MACHS,COM,459200101,12797703,66965116,SH, ,DFND,"4,11",66965116,0,0,2013-08-15,0.14374401649399218
41,JOHNSON & JOHNSON,COM,478160104,28085,327100,SH, ,DFND,4,327100,0,0,2013-08-15,0.00031545119489284683
42,KRAFT FOODS GROUP INC,COM,50076Q106,10764,192666,SH, ,DFND,4,192666,0,0,2013-08-15,0.0001209014300098488
43,LEE ENTERPRISES INC,COM,523768109,181,88863,SH, ,DFND,"4,5",88863,0,0,2013-08-15,2.032995060552084e-06
44,LIBERTY MEDIA CORP DELAWARE,CL A,531229102,332408,2622340,SH, ,DFND,4,2622340,0,0,2013-08-15,0.0037336122767292657
45,LIBERTY MEDIA CORP DELAWARE,CL A,531229102,380280,3000000,SH, ,DFND,"4,8,11",3000000,0,0,2013-08-15,0.004271311390203019
46,M & T BK CORP,COM,55261F104,61016,546000,SH, ,DFND,"4,8,11",546000,0,0,2013-08-15,0.0006853327437273257
47,M & T BK CORP,COM,55261F104,18416,164795,SH, ,DFND,"4,10",164795,0,0,2013-08-15,0.0002068488233984927
48,M & T BK CORP,COM,55261F104,522012,4671245,SH, ,DFND,"4,11",4671245,0,0,2013-08-15,0.005863247610767483
49,MASTERCARD INC,CL A,57636Q104,232673,405000,SH, ,DFND,"4,8,11",405000,0,0,2013-08-15,0.002613387070297431
50,MEDIA GEN INC,CL A,584404107,51248,4646220,SH, ,DFND,4,4646220,0,0,2013-08-15,0.000575618402558968
51,MONDELEZ INTL INC,CL A,609207105,16490,578000,SH, ,DFND,4,578000,0,0,2013-08-15,0.00018521595883151307
52,MOODYS CORP,COM,615369105,744950,12226328,SH, ,DFND,"4,8,11",12226328,0,0,2013-08-15,0.008367290996454557
53,MOODYS CORP,COM,615369105,773558,12695850,SH, ,DFND,"4,11",12695850,0,0,2013-08-15,0.008688616536190878
54,NATIONAL OILWELL VARCO INC,COM,637071101,290517,4216500,SH, ,DFND,4,4216500,0,0,2013-08-15,0.0032630918563890045
55,NATIONAL OILWELL VARCO INC,COM,637071101,321315,4663500,SH, ,DFND,"4,8,11",4663500,0,0,2013-08-15,0.003609015513156314
56,PHILLIPS 66,COM,718546104,382668,6495800,SH, ,DFND,4,6495800,0,0,2013-08-15,0.004298133446582016
57,PHILLIPS 66,COM,718546104,536885,9113650,SH, ,DFND,"4,8,11",9113650,0,0,2013-08-15,0.006030301398256937
58,PHILLIPS 66,COM,718546104,58889,999650,SH, ,DFND,"4,10",999650,0,0,2013-08-15,0.0006614422437616114
59,PHILLIPS 66,COM,718546104,621784,10554818,SH, ,DFND,"4,11",10554818,0,0,2013-08-15,0.006983888401824956
60,PRECISION CASTPARTS CORP,COM,740189105,267762,1184735,SH, ,DFND,4,1184735,0,0,2013-08-15,0.0030075073116218073
61,PRECISION CASTPARTS CORP,COM,740189105,179136,792601,SH, ,DFND,"4,8,11",792601,0,0,2013-08-15,0.00201205858103347
62,PROCTER & GAMBLE CO,COM,742718109,24283,315400,SH, ,DFND,4,315400,0,0,2013-08-15,0.00027274706660434394
63,PROCTER & GAMBLE CO,COM,742718109,1561357,20280000,SH, ,DFND,"4,5",20280000,0,0,2013-08-15,0.01753718822518464
64,PROCTER & GAMBLE CO,COM,742718109,120104,1560000,SH, ,DFND,"4,6",1560000,0,0,2013-08-15,0.0013490101588538536
65,PROCTER & GAMBLE CO,COM,742718109,480418,6240000,SH, ,DFND,"4,8,11",6240000,0,0,2013-08-15,0.005396063099449232
66,PROCTER & GAMBLE CO,COM,742718109,480418,6240000,SH, ,DFND,"4,10",6240000,0,0,2013-08-15,0.005396063099449232
67,PROCTER & GAMBLE CO,COM,742718109,1337907,17377678,SH, ,DFND,"4,11",17377678,0,0,2013-08-15,0.015027394046840094
68,PROCTER & GAMBLE CO,COM,742718109,60052,780000,SH, ,DFND,"4,12",780000,0,0,2013-08-15,0.0006745050794269268
69,SANOFI,SPONSORED ADR,80105N105,25163,488500,SH, ,DFND,"4,8,11",488500,0,0,2013-08-15,0.00028263124148437615
70,SANOFI,SPONSORED ADR,80105N105,26257,509742,SH, ,DFND,"4,5,9",509742,0,0,2013-08-15,0.0002949190679829617
71,SANOFI,SPONSORED ADR,80105N105,8721,169300,SH, ,DFND,"4,10",169300,0,0,2013-08-15,9.795441946450124e-05
72,SANOFI,SPONSORED ADR,80105N105,149180,2896133,SH, ,DFND,"4,11",2896133,0,0,2013-08-15,0.0016755922825036457
73,STARZ,LIBRTY CAP COM A,85571Q102,57954,2622340,SH, ,DFND,4,2622340,0,0,2013-08-15,0.0006509403079515772
74,STARZ,LIBRTY CAP COM A,85571Q102,66300,3000000,SH, ,DFND,"4,8,11",3000000,0,0,2013-08-15,0.0007446827210751556
75,SUNCOR ENERGY INC NEW,COM,867224107,524021,17769457,SH, ,DFND,"4,8,11",17769457,0,0,2013-08-15,0.0058858127327379205
76,TORCHMARK CORP,COM,891027104,7577,116326,SH, ,DFND,"2,4,11",116326,0,0,2013-08-15,8.510499212045934e-05
77,TORCHMARK CORP,COM,891027104,43943,674592,SH, ,DFND,"4,5",674592,0,0,2013-08-15,0.0004935685190377913
78,TORCHMARK CORP,COM,891027104,62505,959550,SH, ,DFND,"4,10",959550,0,0,2013-08-15,0.0007020572169050166
79,TORCHMARK CORP,COM,891027104,161896,2485350,SH, ,DFND,"4,11",2485350,0,0,2013-08-15,0.0018184186095201115
80,US BANCORP DEL,COM NEW,902973304,21338,590275,SH, ,DFND,4,590275,0,0,2013-08-15,0.00023966877680696335
81,US BANCORP DEL,COM NEW,902973304,110981,3070000,SH, ,DFND,"1,2,4,11",3070000,0,0,2013-08-15,0.001246540468591883
82,US BANCORP DEL,COM NEW,902973304,842559,23307300,SH, ,DFND,"4,5",23307300,0,0,2013-08-15,0.009463636934937587
83,US BANCORP DEL,COM NEW,902973304,458357,12679300,SH, ,DFND,"4,8,11",12679300,0,0,2013-08-15,0.00514827357441697
84,US BANCORP DEL,COM NEW,902973304,121630,3364600,SH, ,DFND,"4,5,9",3364600,0,0,2013-08-15,0.0013661502166571822
85,US BANCORP DEL,COM NEW,902973304,110258,3050000,SH, ,DFND,"4,10",3050000,0,0,2013-08-15,0.0012384197203665838
86,US BANCORP DEL,COM NEW,902973304,1101520,30470826,SH, ,DFND,"4,11",30470826,0,0,2013-08-15,0.012372291265742163
87,US BANCORP DEL,COM NEW,902973304,63082,1745000,SH, ,DFND,"4,14",1745000,0,0,2013-08-15,0.0007085380906615832
88,U S G CORP,COM NEW,903293405,393514,17072192,SH, ,DFND,"4,11",17072192,0,0,2013-08-15,0.004419955901978413
89,UNITED PARCEL SERVICE INC,CL B,911312106,5137,59400,SH, ,DFND,4,59400,0,0,2013-08-15,5.769887086218815e-05
90,VERISIGN INC,COM,92343E102,201953,4522000,SH, ,DFND,4,4522000,0,0,2013-08-15,0.002268339510849033
91,VERISIGN INC,COM,92343E102,284726,6375420,SH, ,DFND,"4,8,11",6375420,0,0,2013-08-15,0.0031980472464682467
92,VERISK ANALYTICS INC,CL A,92345Y106,93337,1563434,SH, ,DFND,"4,8,11",1563434,0,0,2013-08-15,0.0010483627622472368
93,VIACOM INC NEW,CL B,92553P201,268991,3954000,SH, ,DFND,4,3954000,0,0,2013-08-15,0.003021311460403125
94,VIACOM INC NEW,CL B,92553P201,248527,3653200,SH, ,DFND,"4,8,11",3653200,0,0,2013-08-15,0.002791459466374739
95,VISA INC,COM CL A,92826C839,284260,1555459,SH, ,DFND,"4,8,11",1555459,0,0,2013-08-15,0.0031928131265885934
96,WABCO HLDGS INC,COM,92927K102,181768,2433632,SH, ,DFND,4,2433632,0,0,2013-08-15,0.002041621249538294
97,WABCO HLDGS INC,COM,92927K102,122693,1642693,SH, ,DFND,"4,8,11",1642693,0,0,2013-08-15,0.0013780898506315848
98,WAL MART STORES INC,COM,931142103,21602,290000,SH, ,DFND,4,290000,0,0,2013-08-15,0.00024263402927097302
99,WAL MART STORES INC,COM,931142103,12663,170000,SH, ,DFND,"1,2,4,11",170000,0,0,2013-08-15,0.000142231030120282
100,WAL MART STORES INC,COM,931142103,2197,29500,SH, ,DFND,"2,4,11",29500,0,0,2013-08-15,2.4676741149353195e-05
101,WAL MART STORES INC,COM,931142103,312858,4200000,SH, ,DFND,"3,4,5",4200000,0,0,2013-08-15,0.0035140263461558227
102,WAL MART STORES INC,COM,931142103,114256,1533840,SH, ,DFND,"4,5",1533840,0,0,2013-08-15,0.0012833253239692758
103,WAL MART STORES INC,COM,931142103,19069,256000,SH, ,DFND,"4,6",256000,0,0,2013-08-15,0.00021418333044015297
104,WAL MART STORES INC,COM,931142103,70468,946000,SH, ,DFND,"4,8,11",946000,0,0,2013-08-15,0.0007914977675523992
105,WAL MART STORES INC,COM,931142103,133263,1789000,SH, ,DFND,"4,5,9",1789000,0,0,2013-08-15,0.001496812269361063
106,WAL MART STORES INC,COM,931142103,63242,849000,SH, ,DFND,"4,10",849000,0,0,2013-08-15,0.0007103352133670436
107,WAL MART STORES INC,COM,931142103,2880744,38672895,SH, ,DFND,"4,11",38672895,0,0,2013-08-15,0.03235656531886769
108,WAL MART STORES INC,COM,931142103,38064,511000,SH, ,DFND,"4,14",511000,0,0,2013-08-15,0.0004275354916290305
109,WASHINGTON POST CO,CL B,939640108,71748,148311,SH, ,DFND,"1,2,4,11",0,0,"148,311",2013-08-15,0.0008058747491960824
110,WASHINGTON POST CO,CL B,939640108,313563,648165,SH, ,DFND,"4,10",0,0,"648,165",2013-08-15,0.0035219449180767574
111,WASHINGTON POST CO,CL B,939640108,432637,894304,SH, ,DFND,"4,11",0,0,"894,304",2013-08-15,0.00485938609951421
112,WASHINGTON POST CO,CL B,939640108,17892,36985,SH, ,DFND,"4,12",0,0,"36,985",2013-08-15,0.00020096324653810988
113,WELLS FARGO & CO NEW,COM,949746101,276487,6699470,SH, ,DFND,4,6699470,0,0,2013-08-15,0.003105506659153945
114,WELLS FARGO & CO NEW,COM,949746101,660320,16000000,SH, ,DFND,"1,2,4,11",16000000,0,0,2013-08-15,0.007416725405435094
115,WELLS FARGO & CO NEW,COM,949746101,218875,5303500,SH, ,DFND,"2,4,11",5303500,0,0,2013-08-15,0.0024584077009852895
116,WELLS FARGO & CO NEW,COM,949746101,281167,6812857,SH, ,DFND,"3,4,5",6812857,0,0,2013-08-15,0.0031580724982886617
117,WELLS FARGO & CO NEW,COM,949746101,3089217,74853819,SH, ,DFND,"4,5",74853819,0,0,2013-08-15,0.03469813757996424
118,WELLS FARGO & CO NEW,COM,949746101,33841,820000,SH, ,DFND,"4,6",820000,0,0,2013-08-15,0.0003801026842217849
119,WELLS FARGO & CO NEW,COM,949746101,70159,1700000,SH, ,DFND,"4,7",1700000,0,0,2013-08-15,0.0007880270743274788
120,WELLS FARGO & CO NEW,COM,949746101,1488576,36069200,SH, ,DFND,"4,8,11",36069200,0,0,2013-08-15,0.01671971080252143
121,WELLS FARGO & CO NEW,COM,949746101,423719,10267000,SH, ,DFND,"4,5,9",10267000,0,0,2013-08-15,0.0047592189727186105
122,WELLS FARGO & CO NEW,COM,949746101,2311874,56018270,SH, ,DFND,"4,10",56018270,0,0,2013-08-15,0.025967007859772313
123,WELLS FARGO & CO NEW,COM,949746101,9995173,242189787,SH, ,DFND,"4,11",99999999,0,0,2013-08-15,0.112265952145655
124,WELLS FARGO & CO NEW,COM,949746101,115061,2788000,SH, ,DFND,"4,12",2788000,0,0,2013-08-15,0.0012923670975811233
125,WELLS FARGO & CO NEW,COM,949746101,66433,1609720,SH, ,DFND,"4,13",1609720,0,0,2013-08-15,0.0007461765793240696
126,WELLS FARGO & CO NEW,COM,949746101,82540,2000000,SH, ,DFND,"4,14",2000000,0,0,2013-08-15,0.0009270906756793868
127,AMERICAN EXPRESS CO,COM,025816109,147426,1952142,SH, ,DFND,4,1952142,0,0,2013-11-14,0.0016018430680780696
128,AMERICAN EXPRESS CO,COM,025816109,1300862,17225400,SH, ,DFND,"4,5",17225400,0,0,2013-11-14,0.01413439133684814
129,AMERICAN EXPRESS CO,COM,025816109,63424,839832,SH, ,DFND,"4,7",839832,0,0,2013-11-14,0.0006891273910286075
130,AMERICAN EXPRESS CO,COM,025816109,146743,1943100,SH, ,DFND,"4,8,11",1943100,0,0,2013-11-14,0.0015944219970627988
131,AMERICAN EXPRESS CO,COM,025816109,603755,7994634,SH, ,DFND,"4,10",7994634,0,0,2013-11-14,0.006560042065629366
132,AMERICAN EXPRESS CO,COM,025816109,9081724,120255879,SH, ,DFND,"4,11",120255879,0,0,2013-11-14,0.09867660138373312
133,AMERICAN EXPRESS CO,COM,025816109,105706,1399713,SH, ,DFND,"4,13",1399713,0,0,2013-11-14,0.0011485384081115978
134,BANK OF NEW YORK MELLON CORP,COM,064058100,242767,8041300,SH, ,DFND,4,8041300,0,0,2013-11-14,0.002637761562465974
135,BANK OF NEW YORK MELLON CORP,COM,064058100,54158,1793915,SH, ,DFND,"2,4,11",1793915,0,0,2013-11-14,0.0005884485564349036
136,BANK OF NEW YORK MELLON CORP,COM,064058100,259972,8611200,SH, ,DFND,"4,8,11",8611200,0,0,2013-11-14,0.0028247008403835955
137,BANK OF NEW YORK MELLON CORP,COM,064058100,16605,550021,SH, ,DFND,"4,5,9",550021,0,0,2013-11-14,0.0001804200354444694
138,BANK OF NEW YORK MELLON CORP,COM,064058100,170767,5656400,SH, ,DFND,"4,11",5656400,0,0,2013-11-14,0.0018554524656877872
139,CHICAGO BRIDGE & IRON CO N V,N Y REGISTRY SH,167250109,326475,4817400,SH, ,DFND,4,4817400,0,0,2013-11-14,0.003547282810703592
140,CHICAGO BRIDGE & IRON CO N V,N Y REGISTRY SH,167250109,320779,4733355,SH, ,DFND,"4,8,11",4733355,0,0,2013-11-14,0.00348539346882514
141,COCA COLA CO,COM,191216100,30304,800000,SH, ,DFND,4,800000,0,0,2013-11-14,0.0003292652065106414
142,COCA COLA CO,COM,191216100,3041128,80283200,SH, ,DFND,"4,5",80283200,0,0,2013-11-14,0.033043084706484094
143,COCA COLA CO,COM,191216100,69093,1824000,SH, ,DFND,"4,6",1824000,0,0,2013-11-14,0.0007507233669957678
144,COCA COLA CO,COM,191216100,545896,14411200,SH, ,DFND,"4,8,11",14411200,0,0,2013-11-14,0.00593138064853924
145,COCA COLA CO,COM,191216100,692386,18278400,SH, ,DFND,"4,10",18278400,0,0,2013-11-14,0.0075230536983591926
146,COCA COLA CO,COM,191216100,10602279,279891200,SH, ,DFND,"4,11",279891200,0,0,2013-11-14,0.11519804594833807
147,COCA COLA CO,COM,191216100,134550,3552000,SH, ,DFND,"4,12",3552000,0,0,2013-11-14,0.0014619401246042372
148,COCA COLA CO,COM,191216100,36365,960000,SH, ,DFND,"4,13",960000,0,0,2013-11-14,0.00039512042089359406
149,CONOCOPHILLIPS,COM,20825C104,34655,498558,SH, ,DFND,"4,8,11",498558,0,0,2013-11-14,0.00037654057984511216
150,CONOCOPHILLIPS,COM,20825C104,138971,1999300,SH, ,DFND,"4,10",1999300,0,0,2013-11-14,0.0015099760762272423
151,CONOCOPHILLIPS,COM,20825C104,766793,11031412,SH, ,DFND,"4,11",11031412,0,0,2013-11-14,0.00833151582285884
152,COSTCO WHSL CORP NEW,COM,22160K105,499073,4333363,SH, ,DFND,"4,11",4333363,0,0,2013-11-14,0.005422629831338613
153,DAVITA HEALTHCARE PARTNERS I,COM,23918K108,1021231,17947812,SH, ,DFND,4,17947812,0,0,2013-11-14,0.011096087516831733
154,DAVITA HEALTHCARE PARTNERS I,COM,23918K108,768094,13499018,SH, ,DFND,"4,8,11",13499018,0,0,2013-11-14,0.008345651713621456
155,DEERE & CO,COM,244199105,135620,1666300,SH, ,DFND,4,1666300,0,0,2013-11-14,0.0014735661070146909
156,DEERE & CO,COM,244199105,188212,2312467,SH, ,DFND,"4,8,11",2312467,0,0,2013-11-14,0.002044999440594669
157,DISH NETWORK CORP,CL A,25470M109,24635,547312,SH, ,DFND,"4,8,11",547312,0,0,2013-11-14,0.0002676692305434811
158,DIRECTV,COM,25490A309,853407,14275800,SH, ,DFND,4,14275800,0,0,2013-11-14,0.009272611935474755
159,DIRECTV,COM,25490A309,1329441,22238900,SH, ,DFND,"4,8,11",22238900,0,0,2013-11-14,0.01444491372124847
160,EXXON MOBIL CORP,COM,30231G102,912661,10607400,SH, ,DFND,"4,5",10607400,0,0,2013-11-14,0.00991643059131496
161,EXXON MOBIL CORP,COM,30231G102,237531,2760700,SH, ,DFND,"4,10",2760700,0,0,2013-11-14,0.002580870306483605
162,EXXON MOBIL CORP,COM,30231G102,2299098,26721271,SH, ,DFND,"4,11",26721271,0,0,2013-11-14,0.02498062888589634
163,GENERAL ELECTRIC CO,COM,369604103,14069,588900,SH, ,DFND,4,588900,0,0,2013-11-14,0.00015286537059128216
164,GENERAL MTRS CO,COM,37045V100,658071,18295000,SH, ,DFND,4,18295000,0,0,2013-11-14,0.007150207355915533
165,GENERAL MTRS CO,COM,37045V100,780729,21705000,SH, ,DFND,"4,8,11",21705000,0,0,2013-11-14,0.008482936094701906
166,GLAXOSMITHKLINE PLC,SPONSORED ADR,37733W105,17350,345819,SH, ,DFND,"4,11",345819,0,0,2013-11-14,0.00018851476151529926
167,INTERNATIONAL BUSINESS MACHS,COM,459200101,15644,84480,SH, ,DFND,4,84480,0,0,2013-11-14,0.00016997838208330498
168,INTERNATIONAL BUSINESS MACHS,COM,459200101,110661,597588,SH, ,DFND,"4,5",597588,0,0,2013-11-14,0.0012023764855357078
169,INTERNATIONAL BUSINESS MACHS,COM,459200101,87923,474800,SH, ,DFND,"4,8,11",474800,0,0,2013-11-14,0.0009553189266115076
170,INTERNATIONAL BUSINESS MACHS,COM,459200101,12400600,66965116,SH, ,DFND,"4,11",66965116,0,0,2013-11-14,0.13473753035427205
171,JOHNSON & JOHNSON,COM,478160104,28356,327100,SH, ,DFND,4,327100,0,0,2013-11-14,0.0003080993992811427
172,KRAFT FOODS GROUP INC,COM,50076Q106,10111,192666,SH, ,DFND,4,192666,0,0,2013-11-14,0.00010986010107672569
173,LEE ENTERPRISES INC,COM,523768109,235,88863,SH, ,DFND,"4,5",88863,0,0,2013-11-14,2.5533699686510273e-06
174,LIBERTY MEDIA CORP DELAWARE,CL A,531229102,385877,2622340,SH, ,DFND,4,2622340,0,0,2013-11-14,0.00419270954635384
175,LIBERTY MEDIA CORP DELAWARE,CL A,531229102,441450,3000000,SH, ,DFND,"4,8,11",3000000,0,0,2013-11-14,0.00479653264962126
176,M & T BK CORP,COM,55261F104,61108,546000,SH, ,DFND,"4,8,11",546000,0,0,2013-11-14,0.0006639631150822425
177,M & T BK CORP,COM,55261F104,18444,164795,SH, ,DFND,"4,10",164795,0,0,2013-11-14,0.00020040151362467893
178,M & T BK CORP,COM,55261F104,522806,4671245,SH, ,DFND,"4,11",4671245,0,0,2013-11-14,0.005680498467364123
179,MASTERCARD INC,CL A,57636Q104,272476,405000,SH, ,DFND,"4,8,11",405000,0,0,2013-11-14,0.002960561853524074
180,MEDIA GEN INC,CL A,584404107,66255,4646220,SH, ,DFND,4,4646220,0,0,2013-11-14,0.0007198873500977609
181,MONDELEZ INTL INC,CL A,609207105,18161,578000,SH, ,DFND,4,578000,0,0,2013-11-14,0.00019732660425817578
182,MOODYS CORP,COM,615369105,859878,12226328,SH, ,DFND,"4,8,11",12226328,0,0,2013-11-14,0.009342921965547694
183,MOODYS CORP,COM,615369105,892899,12695850,SH, ,DFND,"4,11",12695850,0,0,2013-11-14,0.00970170847505759
184,NATIONAL OILWELL VARCO INC,COM,637071101,329351,4216500,SH, ,DFND,4,4216500,0,0,2013-11-14,0.003578531712958232
185,NATIONAL OILWELL VARCO INC,COM,637071101,364266,4663500,SH, ,DFND,"4,8,11",4663500,0,0,2013-11-14,0.003957897297875043
186,PHILLIPS 66,COM,718546104,375587,6495800,SH, ,DFND,4,6495800,0,0,2013-11-14,0.004080904537939291
187,PHILLIPS 66,COM,718546104,526951,9113650,SH, ,DFND,"4,8,11",9113650,0,0,2013-11-14,0.005725535567449479
188,PHILLIPS 66,COM,718546104,57800,999650,SH, ,DFND,"4,10",999650,0,0,2013-11-14,0.0006280203582469335
189,PHILLIPS 66,COM,718546104,610280,10554818,SH, ,DFND,"4,11",10554818,0,0,2013-11-14,0.006630938827524889
190,PRECISION CASTPARTS CORP,COM,740189105,269219,1184735,SH, ,DFND,4,1184735,0,0,2013-11-14,0.0029251732322989827
191,PRECISION CASTPARTS CORP,COM,740189105,180111,792601,SH, ,DFND,"4,8,11",792601,0,0,2013-11-14,0.001956978801803001
192,PROCTER & GAMBLE CO,COM,742718109,23841,315400,SH, ,DFND,4,315400,0,0,2013-11-14,0.0002590420996706772
193,PROCTER & GAMBLE CO,COM,742718109,1532965,20280000,SH, ,DFND,"4,5",20280000,0,0,2013-11-14,0.016656284229757966
194,PROCTER & GAMBLE CO,COM,742718109,117920,1560000,SH, ,DFND,"4,6",1560000,0,0,2013-11-14,0.0012812484540567198
195,PROCTER & GAMBLE CO,COM,742718109,471682,6240000,SH, ,DFND,"4,8,11",6240000,0,0,2013-11-14,0.005125015547035123
196,PROCTER & GAMBLE CO,COM,742718109,471682,6240000,SH, ,DFND,"4,10",6240000,0,0,2013-11-14,0.005125015547035123
197,PROCTER & GAMBLE CO,COM,742718109,1313579,17377678,SH, ,DFND,"4,11",17377678,0,0,2013-11-14,0.014272566681066587
198,PROCTER & GAMBLE CO,COM,742718109,58960,780000,SH, ,DFND,"4,12",780000,0,0,2013-11-14,0.0006406242270283599
199,SANOFI,SPONSORED ADR,80105N105,21335,421400,SH, ,DFND,"4,8,11",421400,0,0,2013-11-14,0.00023181339694114752
200,SANOFI,SPONSORED ADR,80105N105,25808,509742,SH, ,DFND,"4,5,9",509742,0,0,2013-11-14,0.0002804143495784924
201,SANOFI,SPONSORED ADR,80105N105,8572,169300,SH, ,DFND,"4,10",169300,0,0,2013-11-14,9.313824413309194e-05
